model,R2_train,R2_test,MSE_train,MSE_test,CV_scores
LinearRegression,0.7468865083911823,0.6528234485563148,21.98883057210273,25.45976994191992,0.7201648508665875
DecisionTreeRegressor,0.8882016055749843,0.7306868217984426,9.712307066760658,19.749754212450423,0.6470850959441774
RandomForestRegressor,0.9069895755983557,0.8480016515658518,8.080132159718815,11.146613924797034,0.7938860678901222
XGBRegressor,0.970833056240385,0.8911191790828699,2.533831683802203,7.984642511454779,0.8370478401459472
